"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.76290770915691e-209,0.515023477864385,0.745,0.539,2.93577020805901e-205,"0","POMP"
1.65564297559687e-208,1.02102287783064,0.303,0.158,2.75714224726146e-204,"0","IGSF6"
1.86411014737652e-208,0.652617562023233,0.517,0.335,3.10430262842612e-204,"0","LAP3"
9.55384468462891e-208,0.719779564995861,0.505,0.331,1.59100175533125e-203,"0","RNF181"
1.84640568731787e-207,0.534403092450649,0.644,0.439,3.07481939109045e-203,"0","MARCKS"
1.92552925749462e-204,0.967791500253438,0.32,0.175,3.20658387250579e-200,"0","SCO2"
2.6928532591896e-203,0.668866407975425,0.458,0.285,4.48440853252844e-199,"0","GLRX"
3.95845882244554e-203,0.673656157723927,0.384,0.22,6.59202147701855e-199,"0","GLIPR2"
2.63763217419177e-201,0.508668757213466,0.655,0.446,4.39244885968156e-197,"0","VAMP5"
1.14175470834155e-198,0.669450065520964,0.45,0.276,1.90136411580119e-194,"0","LTA4H"
1.16692654161285e-197,0.913685261871566,0.372,0.22,1.94328276974788e-193,"0","BLVRA"
2.80190732553857e-196,0.845412255241509,0.333,0.184,4.66601626921937e-192,"0","LRRC25"
2.97282307188846e-196,0.527172796789312,0.766,0.601,4.95064226161585e-192,"0","LDHA"
9.73076566852921e-196,0.601580640274697,0.576,0.395,1.62046440678017e-191,"0","BLOC1S1"
9.4870840054029e-193,0.634059063071299,0.549,0.376,1.57988409941974e-188,"0","SEC61G"
3.51656007382933e-192,0.982134135544901,0.291,0.158,5.85612749094799e-188,"0","PHC2"
2.08396718518805e-188,0.643411917409528,0.482,0.315,3.47043055349367e-184,"0","TKT"
3.19617600134818e-187,0.978288339119872,0.259,0.132,5.32259189504513e-183,"0","NAIP"
5.20994110120043e-187,0.526450009441056,0.603,0.421,8.67611491582908e-183,"0","COX7B"
1.4951924159585e-186,0.551760121417834,0.574,0.393,2.48994393029569e-182,"0","NDUFS6"
1.6925799696274e-185,0.809583153192549,0.323,0.181,2.8186534234205e-181,"0","SYK"
3.11637481563295e-185,0.776477344311602,0.4,0.248,5.18969898047354e-181,"0","PLSCR1"
6.78721710698898e-183,0.765265197522821,0.36,0.21,1.13027526482688e-178,"0","CARD16"
6.98993839280368e-182,0.549039519458128,0.602,0.422,1.1640344405536e-177,"0","RBX1"
8.41494883828078e-182,0.832338103915197,0.341,0.198,1.4013414300389e-177,"0","SLC7A7"
2.87512674670735e-181,0.671537967864477,0.363,0.213,4.78794857129176e-177,"0","VSIR"
2.28833740884789e-178,0.778033133666324,0.35,0.203,3.81076828695439e-174,"0","LMO2"
2.68576763150197e-177,0.571236811986871,0.434,0.27,4.47260883674023e-173,"0","MARCH1"
3.0809258044623e-177,0.622092088014917,0.484,0.324,5.13066574217107e-173,"0","VASP"
3.27043265841059e-174,0.589889569439718,0.462,0.303,5.44625150605116e-170,"0","METRNL"
7.3483891994119e-174,0.842066553798388,0.27,0.141,1.22372725337806e-169,"0","LPAR6"
8.06986011699078e-174,0.505685435090621,0.65,0.467,1.34387380528247e-169,"0","NDUFB2"
2.81938596638758e-173,0.682975722699742,0.41,0.254,4.69512344982523e-169,"0","CCR1"
1.19946963102515e-172,0.636682684804947,0.41,0.256,1.99747677654618e-168,"0","PPT1"
2.14421344374009e-171,0.821651308289597,0.3,0.166,3.57075864786037e-167,"0","FGR"
2.78297893569995e-171,0.98984292987284,0.274,0.149,4.63449482162113e-167,"0","CD33"
1.4420091144598e-169,0.538994541153188,0.591,0.42,2.4013777783099e-165,"0","ATP5MPL"
3.23253973749093e-166,0.740394112078715,0.333,0.194,5.38314842484365e-162,"0","PTPRE"
8.38016138268736e-165,0.593227621501793,0.622,0.45,1.39554827505893e-160,"0","TUBA1A"
1.86105349310031e-163,0.627171113924697,0.471,0.317,3.09921238205994e-159,"0","LAMTOR2"
3.29069641168769e-162,0.51343053278433,0.536,0.368,5.47999673438351e-158,"0","PYCARD"
8.4500907831082e-161,0.718754754731644,0.398,0.257,1.40719361811101e-156,"0","BNIP3L"
2.75414693319111e-160,0.944986694627462,0.263,0.143,4.58648088784316e-156,"0","SCIMP"
1.1370789311997e-158,0.651577124146016,0.389,0.245,1.89357754412685e-154,"0","RAB31"
4.58409070327665e-158,0.651339782023933,0.346,0.21,7.63388624816661e-154,"0","POLE4"
8.41556023052468e-158,0.654918390847092,0.393,0.251,1.40144324518927e-153,"0","SKAP2"
2.10624535436392e-157,0.762985828046652,0.302,0.173,3.50753038862223e-153,"0","TBXAS1"
4.53827456664692e-157,0.58179981806475,0.456,0.303,7.55758863583712e-153,"0","TXNDC17"
4.09713159786038e-156,0.693410177813729,0.36,0.226,6.8229532499169e-152,"0","PGAM1"
1.60603817762092e-155,0.722856429852442,0.272,0.149,2.67453537719212e-151,"0","PARVG"
1.70990528263136e-154,0.536171935761335,0.398,0.249,2.847505267166e-150,"0","SLA"
5.42831664264798e-153,0.621451545278563,0.278,0.151,9.03977570500168e-149,"0","JAML"
7.49230210808234e-152,0.554740941030208,0.446,0.299,1.24769307005895e-147,"0","TCIRG1"
9.86562248335331e-151,0.708891870127288,0.379,0.243,1.64292211215283e-146,"0","TIMM8B"
1.08087794128448e-150,0.655785811488494,0.345,0.208,1.79998603562104e-146,"0","GPR65"
2.46953951007627e-150,0.846050514417623,0.266,0.147,4.11252414613002e-146,"0","ALOX5"
1.46379110693693e-148,0.733905326561616,0.301,0.174,2.43765133038206e-144,"0","FCGR2B"
5.86355387862553e-145,0.808764440523083,0.265,0.149,9.76457627407509e-141,"0","IL17RA"
1.12930100034883e-144,0.66100744886687,0.387,0.254,1.8806249558809e-140,"0","ATG3"
1.9444554264163e-144,0.826033775754136,0.293,0.172,3.23810162161107e-140,"0","NUP214"
2.65584675659397e-143,0.507855677540036,0.409,0.26,4.42278160375593e-139,"0","LAIR1"
5.20629351408176e-141,0.734728422462692,0.318,0.194,8.67004058900036e-137,"0","SLC43A2"
1.3801756298065e-140,0.649375367954948,0.267,0.149,2.29840647631676e-136,"0","CASP1"
8.01343390457701e-140,0.545449685383475,0.417,0.273,1.33447714812921e-135,"0","PLEKHO1"
5.65758244095376e-136,0.571438189837765,0.382,0.244,9.4215720389203e-132,"0","ITGAM"
8.01488614566496e-135,0.647622976394201,0.369,0.237,1.33471898983759e-130,"0","HNMT"
2.643792863601e-134,0.806550951119563,0.263,0.152,4.40270825575475e-130,"0","BACH1"
1.00114137015091e-133,0.502512207144897,0.483,0.339,1.66720072371231e-129,"0","MRPL20"
3.95957887297383e-131,0.562848783223951,0.406,0.273,6.59388669716332e-127,"0","ZYX"
4.85558471692932e-131,0.80777660044382,0.271,0.16,8.0860052291024e-127,"0","ERCC1"
5.87065008457639e-130,0.859082449560135,0.314,0.199,9.77639358584507e-126,"0","IFI35"
1.01565080778955e-129,0.535843640456546,0.41,0.273,1.69136329021195e-125,"0","ARHGAP18"
3.42282837552674e-127,0.7827159445618,0.254,0.146,5.70003609376469e-123,"0","LPCAT2"
4.93823111662054e-127,0.825030217238552,0.257,0.151,8.22363627850819e-123,"0","GCA"
1.44199977791084e-125,0.67660313617288,0.526,0.382,2.40136223015492e-121,"0","IFITM2"
1.47103325677508e-125,0.816528938908906,0.299,0.186,2.44971168250753e-121,"0","EPSTI1"
1.95455065539001e-125,0.717593732853037,0.305,0.189,3.25491320642099e-121,"0","EMILIN2"
2.79740485352505e-125,0.708505506112119,0.284,0.172,4.65851830257527e-121,"0","MEF2A"
5.65177562311356e-125,0.507952030462076,0.366,0.238,9.41190194517102e-121,"0","ZFP36"
2.81785522344534e-124,0.538788677181208,0.37,0.244,4.69257430360352e-120,"0","TWF2"
2.36023647002694e-122,0.557562452344652,0.392,0.264,3.93050179353586e-118,"0","TIMM13"
2.55891122458212e-122,0.652055761017175,0.313,0.195,4.2613548622966e-118,"0","THEMIS2"
5.02487483306546e-122,0.757399997047134,0.266,0.157,8.3679240595039e-118,"0","NCF4"
3.14325261092952e-120,0.588796761821361,0.347,0.227,5.23445857298093e-116,"0","DDX21"
6.12159229705337e-120,0.761375931591568,0.25,0.146,1.0194287652283e-115,"0","PNP"
7.23131036840057e-119,0.738611152757244,0.268,0.161,1.20423011564975e-114,"0","PECAM1"
3.42241642835708e-117,0.639490564852539,0.326,0.21,5.69935007814305e-113,"0","GRINA"
4.51720332555326e-117,0.533436893364369,0.381,0.255,7.52249869804384e-113,"0","NHP2"
1.81840895208354e-115,0.507681983797815,0.374,0.253,3.02819642790472e-111,"0","UQCRC1"
5.55075751134614e-114,0.555202223540963,0.263,0.155,9.24367648364473e-110,"0","DOCK10"
9.81207301329763e-114,0.600203171801352,0.33,0.216,1.63400451890445e-109,"0","EIF4E2"
6.93984058913425e-112,0.50994993518693,0.338,0.22,1.15569165330853e-107,"0","RNF149"
1.6984895010893e-111,0.60505210468759,0.323,0.211,2.82849456616401e-107,"0","RAB32"
2.4477046781503e-111,0.600524256330299,0.326,0.215,4.07616260052369e-107,"0","PDXK"
3.33081898890796e-111,0.688026193950499,0.305,0.196,5.54681286222843e-107,"0","SRA1"
4.67616021137561e-111,0.61551608042586,0.319,0.207,7.7872096000038e-107,"0","GNAQ"
2.40685310464698e-108,0.545966241817924,0.357,0.238,4.00813247516862e-104,"0","LY96"
3.92249382378828e-105,0.621859668548579,0.296,0.191,6.53212896475463e-101,"0","PLIN3"
1.42149964189436e-104,0.626459669396565,0.251,0.152,2.36722335364668e-100,"0","OGFRL1"
2.48488123325915e-103,0.506914718188617,0.364,0.247,4.13807271774647e-99,"0","DNAJC15"
3.30955584260852e-103,0.640775253920055,0.267,0.166,5.51140334469597e-99,"0","SLC8A1"
7.39995654393763e-103,0.707083955364691,0.298,0.194,1.23231476326193e-98,"0","ATF5"
1.63934683108765e-98,0.595989602826474,0.257,0.159,2.73000427781026e-94,"0","SH3BP2"
2.02502752143733e-97,0.527695617621011,0.334,0.225,3.37227833144958e-93,"0","NME1"
2.84821148339829e-97,0.570703328766075,0.297,0.191,4.74312658330317e-93,"0","ADA2"
7.38388071167313e-97,0.813517343233875,0.289,0.192,1.22963765491493e-92,"0","MX1"
2.50614405101011e-95,0.616970859931398,0.286,0.187,4.17348168814714e-91,"0","PEA15"
5.92536735467595e-95,0.503202597788674,0.289,0.188,9.86751425574186e-91,"0","IRF2BP2"
2.03060895009945e-94,0.637850699348876,0.274,0.177,3.38157308460061e-90,"0","AGFG1"
1.58926469383152e-93,0.585120730722685,0.312,0.206,2.64660249463763e-89,"0","LILRB4"
1.33379390388217e-91,0.584083925488417,0.258,0.163,2.22116698813498e-87,"0","MYD88"
2.42255631406411e-88,0.578506650999812,0.283,0.186,4.03428302981096e-84,"0","SIRPA"
7.60727119032645e-88,0.604514510211937,0.306,0.208,1.26683887132506e-83,"0","NDUFA13"
2.10690102233486e-87,0.534442785438817,0.315,0.215,3.50862227249424e-83,"0","ZNF106"
4.09438589749858e-85,0.504596394272857,0.329,0.229,6.81838083510438e-81,"0","FIBP"
1.01879572328853e-83,0.524012527781893,0.291,0.195,1.69660051799239e-79,"0","FUOM"
1.12046264026294e-83,0.597663506752351,0.256,0.167,1.86590643482987e-79,"0","LACTB"
5.70721828137029e-83,0.668584733614637,0.257,0.169,9.50423060396595e-79,"0","SHTN1"
1.6880509502717e-82,0.658607791146079,0.257,0.169,2.81111124748745e-78,"0","NAGA"
1.20318123645118e-81,0.60572672087736,0.253,0.165,2.00365771306215e-77,"0","RXRA"
2.1687771910203e-80,0.562391089143225,0.336,0.238,3.61166465620611e-76,"0","NDUFB1"
6.21306097680154e-79,0.631465191062165,0.275,0.187,1.03466104446676e-74,"0","PLBD1"
5.62753682902977e-75,0.507548629039932,0.296,0.206,9.37153708138328e-71,"0","DHRS3"
9.76357398776944e-75,0.562144525096404,0.294,0.205,1.62592797618324e-70,"0","NANS"
1.38824888168742e-73,0.501832163532468,0.287,0.198,2.31185086267406e-69,"0","SAT2"
3.58809874537406e-73,0.519750083719222,0.27,0.183,5.97526084067143e-69,"0","RRP7A"
6.46148074376861e-71,0.567168391070377,0.28,0.194,1.07603038825979e-66,"0","XAF1"
1.81723807046483e-69,0.511679821343693,0.25,0.168,3.02624655874508e-65,"0","COMMD9"
9.96136693936346e-68,0.56755594049385,0.284,0.201,1.6588664364122e-63,"0","SFT2D1"
6.73720482867834e-67,0.544454453354156,0.256,0.176,1.1219467201198e-62,"0","PGD"
2.21245238870761e-56,0.569648413974407,0.267,0.192,3.68439696291478e-52,"0","OAS1"
0,2.44222165934377,0.884,0.26,0,"1","C1QC"
